complex_id,name,district,dong,households,built_ymd,min_area_m2,max_area_m2,min_price_manwon,max_price_manwon,sale_count,lat,lng,url
12616,LG개포자이,강남구,개포동,212,200406,160.71,204.52,298500,325000,35,37.4964371,127.0771151,https://kbland.kr/c/12616
489992,YH빌리지,강남구,개포동,16,201709,33.02,36.32,,,0,37.4782472,127.0466702,https://kbland.kr/c/489992
141,개포6차우성,강남구,개포동,270,198802,61.32,86.52,215000,295000,9,37.4762762,127.0568592,https://kbland.kr/c/141
150,개포더샵트리에,강남구,개포동,232,202112,132.23,135.57,287500,287500,22,37.4848948,127.0572249,https://kbland.kr/c/150
39203,개포래미안포레스트,강남구,개포동,2296,202009,74.31,174.19,231667,396000,520,37.4784483,127.0540313,https://kbland.kr/c/39203
351699,개포비버리하임(도),강남구,개포동,29,201811,28.54,66.23,,,0,37.4745546,127.0494115,https://kbland.kr/c/351699
28654,개포상지리츠빌,강남구,개포동,18,200303,178.74,240.58,300000,300000,0,37.4872571,127.0601988,https://kbland.kr/c/28654
435295,개포자이르네,강남구,개포동,28,202210,71.89,158.90,134300,265100,9,37.4786543,127.0552322,https://kbland.kr/c/435295
48042,개포자이프레지던스,강남구,개포동,3375,202303,59.86,243.78,202500,477500,509,37.4851048,127.0716051,https://kbland.kr/c/48042
136,개포주공5단지.,강남구,개포동,940,198310,75.33,116.04,330000,400000,48,37.4877875,127.0680057,https://kbland.kr/c/136
144,개포주공6단지.,강남구,개포동,1060,198310,68.43,107.31,300000,377500,139,37.4886449,127.0704715,https://kbland.kr/c/144
145,개포주공7단지.,강남구,개포동,900,198310,73.43,114.72,297250,375000,134,37.4895613,127.0724164,https://kbland.kr/c/145
151,개포현대,강남구,개포동,18,199401,148.38,148.38,205200,205200,2,37.4843187,127.0600773,https://kbland.kr/c/151
25258,개포현대(200동),강남구,개포동,72,198607,101.55,101.55,250000,250000,0,37.4817719,127.0525788,https://kbland.kr/c/25258
154,개포현대6차,강남구,개포동,19,199209,116.85,154.77,134900,172200,0,37.4797585,127.0460042,https://kbland.kr/c/154
